Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Nacionalidad;Total
Ambos sexos;Total Nacional;05 Canarias;;Bangladesh;580
Ambos sexos;Total Nacional;05 Canarias;;China;10.426
Ambos sexos;Total Nacional;05 Canarias;;Corea;257
Ambos sexos;Total Nacional;05 Canarias;;Filipinas;1.834
Ambos sexos;Total Nacional;05 Canarias;;India;3.515
Ambos sexos;Total Nacional;05 Canarias;;Indonesia;87
Ambos sexos;Total Nacional;05 Canarias;;Irán;113
Ambos sexos;Total Nacional;05 Canarias;;Iraq;17
Ambos sexos;Total Nacional;05 Canarias;;Israel;61
Ambos sexos;Total Nacional;05 Canarias;;Japón;162
Ambos sexos;Total Nacional;05 Canarias;;Jordania;50
Ambos sexos;Total Nacional;05 Canarias;;Kazajstán;151
Ambos sexos;Total Nacional;05 Canarias;;Líbano;111
Ambos sexos;Total Nacional;05 Canarias;;Nepal;321
Ambos sexos;Total Nacional;05 Canarias;;Pakistán;556
Ambos sexos;Total Nacional;05 Canarias;;Siria;50
Ambos sexos;Total Nacional;05 Canarias;;Tailandia;200
Ambos sexos;Total Nacional;05 Canarias;;Vietnam;69
Ambos sexos;Total Nacional;05 Canarias;;Resto de Asia;246
Ambos sexos;Total Nacional;05 Canarias;;Australia;97
Ambos sexos;Total Nacional;05 Canarias;;Nueva Zelanda;19
Ambos sexos;Total Nacional;05 Canarias;;Resto de Oceanía;3
Ambos sexos;Total Nacional;05 Canarias;;Apátridas;75
Hombres;Total Nacional;05 Canarias;;Total Extranjeros;142.137
Hombres;Total Nacional;05 Canarias;;Alemania;11.680
Hombres;Total Nacional;05 Canarias;;Austria;811
Hombres;Total Nacional;05 Canarias;;Bélgica;2.197
Hombres;Total Nacional;05 Canarias;;Bulgaria;1.241
Hombres;Total Nacional;05 Canarias;;Chipre;11
Hombres;Total Nacional;05 Canarias;;Croacia;175
Hombres;Total Nacional;05 Canarias;;Dinamarca;359
Hombres;Total Nacional;05 Canarias;;Eslovenia;220
Hombres;Total Nacional;05 Canarias;;Estonia;265
Hombres;Total Nacional;05 Canarias;;Finlandia;389
Hombres;Total Nacional;05 Canarias;;Francia;3.241
Hombres;Total Nacional;05 Canarias;;Grecia;156
Hombres;Total Nacional;05 Canarias;;Hungría;1.076
Hombres;Total Nacional;05 Canarias;;Irlanda;1.233
Hombres;Total Nacional;05 Canarias;;Italia;27.142
Hombres;Total Nacional;05 Canarias;;Letonia;466
Hombres;Total Nacional;05 Canarias;;Lituania;642
Hombres;Total Nacional;05 Canarias;;Luxemburgo;68
Hombres;Total Nacional;05 Canarias;;Malta;14
Hombres;Total Nacional;05 Canarias;;Países Bajos;1.590
Hombres;Total Nacional;05 Canarias;;Polonia;2.101
Hombres;Total Nacional;05 Canarias;;Portugal;2.470
Hombres;Total Nacional;05 Canarias;;República Checa;556
Hombres;Total Nacional;05 Canarias;;República Eslovaca;423
Hombres;Total Nacional;05 Canarias;;Rumanía;3.711
Hombres;Total Nacional;05 Canarias;;Suecia;857
Hombres;Total Nacional;05 Canarias;;Albania;68
Hombres;Total Nacional;05 Canarias;;Andorra;2
Hombres;Total Nacional;05 Canarias;;Armenia;26
Hombres;Total Nacional;05 Canarias;;Belarús;134
Hombres;Total Nacional;05 Canarias;;Bosnia y Herzegovina;43
Hombres;Total Nacional;05 Canarias;;Georgia;65
Hombres;Total Nacional;05 Canarias;;Islandia;120
Hombres;Total Nacional;05 Canarias;;Liechtenstein;5
Hombres;Total Nacional;05 Canarias;;Macedonia;17
Hombres;Total Nacional;05 Canarias;;Moldavia;133
Hombres;Total Nacional;05 Canarias;;Noruega;715
Hombres;Total Nacional;05 Canarias;;Reino Unido;14.764
Hombres;Total Nacional;05 Canarias;;Rusia;1.622
Hombres;Total Nacional;05 Canarias;;Serbia;161
Hombres;Total Nacional;05 Canarias;;Suiza;825
Hombres;Total Nacional;05 Canarias;;Turquía;61
Hombres;Total Nacional;05 Canarias;;Ucrania;549
Hombres;Total Nacional;05 Canarias;;Resto de Nacionalidades Europeas;22
Hombres;Total Nacional;05 Canarias;;Angola;19
Hombres;Total Nacional;05 Canarias;;Argelia;259
Hombres;Total Nacional;05 Canarias;;Benin;2
Hombres;Total Nacional;05 Canarias;;Burkina Faso;8
Hombres;Total Nacional;05 Canarias;;Cabo Verde;85
Hombres;Total Nacional;05 Canarias;;Camerún;33
Hombres;Total Nacional;05 Canarias;;Congo;14
Hombres;Total Nacional;05 Canarias;;Costa de Marfil;82
Hombres;Total Nacional;05 Canarias;;Egipto;48
Hombres;Total Nacional;05 Canarias;;Etiopía;2
Hombres;Total Nacional;05 Canarias;;Gambia;180
Hombres;Total Nacional;05 Canarias;;Ghana;302
Hombres;Total Nacional;05 Canarias;;Guinea;308
Hombres;Total Nacional;05 Canarias;;Guinea Ecuatorial;91
Hombres;Total Nacional;05 Canarias;;Guinea-Bissau;267
Hombres;Total Nacional;05 Canarias;;Kenia;23
Hombres;Total Nacional;05 Canarias;;Liberia;18
Hombres;Total Nacional;05 Canarias;;Mali;560
Hombres;Total Nacional;05 Canarias;;Marruecos;11.212
Hombres;Total Nacional;05 Canarias;;Mauritania;1.575
Hombres;Total Nacional;05 Canarias;;Nigeria;706
Hombres;Total Nacional;05 Canarias;;República Democrática del Congo;4
Hombres;Total Nacional;05 Canarias;;Senegal;2.457
Hombres;Total Nacional;05 Canarias;;Sierra Leona;112
Hombres;Total Nacional;05 Canarias;;Sudáfrica;60
Hombres;Total Nacional;05 Canarias;;Togo;14
Hombres;Total Nacional;05 Canarias;;Túnez;44
Hombres;Total Nacional;05 Canarias;;Resto de África;49
Hombres;Total Nacional;05 Canarias;;Costa Rica;33
Hombres;Total Nacional;05 Canarias;;Cuba;6.645
Hombres;Total Nacional;05 Canarias;;Dominica;4
Hombres;Total Nacional;05 Canarias;;El Salvador;34
Hombres;Total Nacional;05 Canarias;;Guatemala;49
Hombres;Total Nacional;05 Canarias;;Honduras;379
Hombres;Total Nacional;05 Canarias;;Nicaragua;37
Hombres;Total Nacional;05 Canarias;;Panamá;37
Hombres;Total Nacional;05 Canarias;;República Dominicana;751
Hombres;Total Nacional;05 Canarias;;Resto de América Central y Caribe;22
Hombres;Total Nacional;05 Canarias;;Canadá;104
Hombres;Total Nacional;05 Canarias;;Estados Unidos de América;535
Hombres;Total Nacional;05 Canarias;;México;240
Hombres;Total Nacional;05 Canarias;;Argentina;2.223
Hombres;Total Nacional;05 Canarias;;Bolivia;515
Hombres;Total Nacional;05 Canarias;;Brasil;735
Hombres;Total Nacional;05 Canarias;;Chile;644
Hombres;Total Nacional;05 Canarias;;Colombia;7.420
Hombres;Total Nacional;05 Canarias;;Ecuador;875
Hombres;Total Nacional;05 Canarias;;Paraguay;387
Hombres;Total Nacional;05 Canarias;;Perú;688
Hombres;Total Nacional;05 Canarias;;Uruguay;1.279
Hombres;Total Nacional;05 Canarias;;Venezuela;7.836
Hombres;Total Nacional;05 Canarias;;Resto de América del Sur;0
Hombres;Total Nacional;05 Canarias;;Arabia Saudí;6
Hombres;Total Nacional;05 Canarias;;Bangladesh;385
Hombres;Total Nacional;05 Canarias;;China;5.308
Hombres;Total Nacional;05 Canarias;;Corea;115
Hombres;Total Nacional;05 Canarias;;Filipinas;775
Hombres;Total Nacional;05 Canarias;;India;1.900
Hombres;Total Nacional;05 Canarias;;Indonesia;36
Hombres;Total Nacional;05 Canarias;;Irán;63
Hombres;Total Nacional;05 Canarias;;Iraq;11
Hombres;Total Nacional;05 Canarias;;Israel;27
Hombres;Total Nacional;05 Canarias;;Japón;61
Hombres;Total Nacional;05 Canarias;;Jordania;25
Hombres;Total Nacional;05 Canarias;;Kazajstán;60
Hombres;Total Nacional;05 Canarias;;Líbano;69
Hombres;Total Nacional;05 Canarias;;Nepal;176
Hombres;Total Nacional;05 Canarias;;Pakistán;356
Hombres;Total Nacional;05 Canarias;;Siria;28
Hombres;Total Nacional;05 Canarias;;Tailandia;28
Hombres;Total Nacional;05 Canarias;;Vietnam;36
Hombres;Total Nacional;05 Canarias;;Resto de Asia;118
Hombres;Total Nacional;05 Canarias;;Australia;54
Hombres;Total Nacional;05 Canarias;;Nueva Zelanda;11
Hombres;Total Nacional;05 Canarias;;Resto de Oceanía;1
Hombres;Total Nacional;05 Canarias;;Apátridas;56
Mujeres;Total Nacional;05 Canarias;;Total Extranjeros;145.321
Mujeres;Total Nacional;05 Canarias;;Alemania;13.606
Mujeres;Total Nacional;05 Canarias;;Austria;898
